type,content,links
p,"Rektor ITB saat ini adalah Prof. Dr. Ir.Tatacipta Dirgantara, M.T., untuk masa jabatan 2025–2030.[14]",/wiki/Tatacipta_Dirgantara #cite_note-19
h2,Sejarah,
p,Kurun waktu sejarah pendirian ITB dapat dibagi dalam periode:,
h3,Technische Hoogeschool te Bandoeng(1920–1942),/wiki/Technische_Hoogeschool_te_Bandoeng
p,"Sejarah Institut Teknologi Bandung (ITB) bermula sejak awal abad ke-20, atas prakarsa masyarakat penguasa kala itu. Tujuan awal pendiriannya adalah untuk memenuhi kebutuhan tenaga teknik yang menjadi sulit karena terganggunya hubungan antara negeri Belanda dan wilayah jajahannya di kawasan Nusantara, sebagai akibat pecahnya Perang Dunia Pertama.Technische Hoogeschool te Bandoeng(sering disingkat menjadi TH te Bandoeng, TH Bandung, atau THS) berdiri tanggal 3 Juli 1920 sebagai sekolah tinggi pertama di Hindia Belanda.[note 6]TH Bandung dibuka pertama kali dengan satu fakultas yaitude Faculteit van Technische Wetenschapyang hanya mempunyai satu bagian yaitude afdeeling der Weg- en Waterbouwkunde. Kampus ITB merupakan tempat di mana presiden Indonesia pertama,Soekarno, meraih gelar insinyurnya dalam bidangTeknik Sipil. Lama studi untuk menjadi insinyur adalah empat tahun. Sampai dengan ditutupnya pada tahun 1942, THS memiliki tiga bagian (afdeeling) yaitu sipil (1920), kimia (1940), dan mesin dan listrik (1941);[note 7]namun dua bagian terakhir belum sempat meluluskan seorang insinyur.",/wiki/Technische_Hoogeschool_te_Bandoeng #cite_note-eja-21 /wiki/Soekarno /wiki/Teknik_Sipil #cite_note-mesin-22
h3,Institute of Tropical Scientific Research(1942–1945),/wiki/Bandung_Kogyo_Daigaku#Institute_of_Tropical_Scientific_Research
p,"Pada masapenjajahan Jepang, upaya untuk membuka kembali perkuliahan TH Bandung ditolak secara tegas, namun kegiatan penelitian di laboratorium-laboratorium yang ada di kampus TH Bandung diizinkan. Komunitas laboratorium tersebut dinamakanInstitute of Tropical Scientific Research(Lembaga Penelitian Ilmiah Tropis) yang diawaki oleh banyak staf akademik TH Bandung.",/wiki/Pendudukan_Jepang_di_wilayah_Hindia_Belanda /wiki/Bandung_Kogyo_Daigaku#Institute_of_Tropical_Scientific_Research
h3,Bandoeng Koogyo Daigaku(1944–1945),/wiki/Bandung_Kogyo_Daigaku#Bandoeng_Koogyo_Daigaku
p,"Pada tanggal 1 April 1944, THS dibuka kembali oleh pemerintah militer Jepang dengan nama バンドン工業大学(Bandung Kōgyō Daigakucode: ja is deprecated)[16]:26setelah ditutup sejak 8 Maret 1942 dengan menyerahnya Hindia Belanda di Kalijati.Bandoeng Koogyo Daigaku (BKD)membuka tiga bagian yaitu Teknik Sipil (Dobubuka), Teknik Kimia (Oyakagabuka), Listrik dan Mesin (Denki dan Kikaika). Lama studi untuk menjadi insinyur(kogakusi)adalah tiga tahun, mengikuti kurikulum yang diterapkan diTokyo Kogyo Daigaku (Tokyo Institute of Technology)pada masa itu.",#cite_note-saka-23 /wiki/Bandung_Kogyo_Daigaku#Bandoeng_Koogyo_Daigaku
h3,Sekolah Tinggi Teknik Bandung(1945–1946),/wiki/Sekolah_Tinggi_Teknik_Bandung
p,"Kemudian pada masa kemerdekaan Indonesia, pada bulan Agustus 1945, namanya diubah menjadiSekolah Tinggi Teknik Bandung(STT Bandung) yang membuka tiga bagian yaitu Bagian Bangunan Jalan dan Air, Bagian Kimia, dan Bagian Mesin dan Listrik dengan lama studi empat tahun. Pada tahun 1946, STT Bandung dipindahkan keYogyakartanamun karena serbuan tentara Belanda ke Yogyakarta, pada tanggal 19 Desember 1948 STT Bandung di Yogyakarta terpaksa ditutup. Beberapa waktu kemudian sekolah itu dibuka kembali pada tahun 1949 dengan hanya menyelenggarakan Bagian Sipil saja dan menjadi cikal bakal lahirnya Fakultas TeknikUniversitas Gadjah Mada.",/wiki/Sekolah_Tinggi_Teknik_Bandung /wiki/Yogyakarta /wiki/UGM
h3,"Technische Faculteit, Nood-Universiteit van Nederlandsch Indie(1946–1947)","/wiki/Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie"
p,"Pada tanggal 21 Januari 1946,NICAmendirikanNood-Universiteit van Nederlandsch Indie– Universitas Darurat Hindia Belanda di mana salah satu fakultasnya adalahTechnische Faculteit(fakultas teknik) sebagai pengganti STT Bandung di lokasi Kampus THS dulu. Sebagian besar pengajarnya adalah para mantan pengajar THS yang baru saja dibebaskan dari kamp interniran Jepang.[5]:14","/wiki/NICA /wiki/Nood-Universiteit_van_Nederlandsch_Indie /wiki/Technische_Faculteit,_Nood-Universiteit_van_Nederlandsch_Indie #cite_note-ing4812-5"
h3,Faculteit van Technische WetenschapdanFaculteit der Exacte WetenschapUniversiteit van Indonesie te Bandoeng(1947–1950),/wiki/Universiteit_van_Indonesie_te_Bandoeng
